                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.4323,                 0.5925,                0.83468,                0.92545,                0.95238,                  0.995,                0.96183,                0.32362,                0.34679,                0.77513,                 0.0937,                 0.0007,                 0.0007
                      1,                0.39777,                0.53431,                0.81863,                0.81146,                      1,                  0.995,                 0.9642,                 0.3238,                0.33262,                0.77161,                0.08647,              0.0014703,              0.0014703
                      2,                0.42149,                0.53808,                0.82023,                0.84603,                0.97619,                  0.995,                0.96183,                0.32975,                0.34778,                0.77459,               0.079209,              0.0022089,              0.0022089
                      3,                0.42362,                0.57778,                0.83407,                 0.9183,                0.95238,                  0.995,                0.92393,                0.39464,                0.38437,                0.78152,               0.071916,              0.0029159,              0.0029159
                      4,                0.47041,                 0.5782,                0.82805,                0.82003,                      1,                  0.995,                0.94762,                0.36083,                0.41537,                0.77625,               0.064591,              0.0035911,              0.0035911
                      5,                0.50745,                0.61358,                0.82512,                0.78457,                      1,                  0.995,                0.93577,                 0.3853,                0.42131,                0.78339,               0.057235,              0.0042347,              0.0042347
                      6,                0.50579,                0.64007,                0.84195,                 0.9027,                0.95238,                  0.995,                0.93104,                0.39201,                0.39726,                0.78582,               0.049847,              0.0048466,              0.0048466
                      7,                0.49461,                0.58973,                0.84657,                0.87662,                0.95238,                  0.995,                0.93577,                0.45297,                 0.4635,                 0.7894,               0.042427,              0.0054268,              0.0054268
                      8,                0.48306,                0.64368,                 0.8468,                0.92441,                0.95238,                  0.995,                0.94999,                0.37591,                0.37475,                0.78512,               0.034975,              0.0059754,              0.0059754
                      9,                0.50995,                0.58221,                0.84744,                0.85842,                      1,                  0.995,                0.90024,                 0.5197,                0.42844,                0.80547,               0.027492,              0.0064922,              0.0064922
                     10,                0.56562,                0.59602,                0.86652,                 0.8886,                0.97619,                  0.995,                0.91445,                0.45741,                0.39141,                0.79724,               0.019977,              0.0069774,              0.0069774
                     11,                0.54871,                0.61097,                0.84834,                0.87899,                0.92857,                  0.995,                0.93104,                0.41666,                0.42503,                0.79363,               0.012431,              0.0074309,              0.0074309
                     12,                0.58821,                0.62284,                0.84425,                0.89095,                0.95238,                  0.995,                0.91445,                0.45853,                0.39995,                0.79771,               0.007624,               0.007624,               0.007624
                     13,                0.68375,                0.60696,                0.84848,                0.91658,                0.95238,                  0.995,                 0.9263,                0.41099,                0.40295,                0.79252,               0.007624,               0.007624,               0.007624
                     14,                0.62357,                0.60005,                0.86364,                0.89026,                0.97619,                  0.995,                 0.8647,                0.63903,                0.43799,                0.83147,               0.007426,               0.007426,               0.007426
                     15,                0.56797,                0.56802,                0.86256,                0.84881,                0.97619,                  0.995,                0.94288,                0.38146,                0.38566,                0.78503,               0.007228,               0.007228,               0.007228
                     16,                0.59583,                0.58516,                0.85627,                0.81908,                      1,                  0.995,                0.87892,                0.56433,                  0.411,                0.83533,                0.00703,                0.00703,                0.00703
                     17,                0.62112,                0.59127,                0.85448,                0.85801,                      1,                  0.995,                0.95473,                0.33516,                0.38178,                0.78026,               0.006832,               0.006832,               0.006832
                     18,                0.56305,                0.62529,                0.85388,                0.86283,                0.97619,                  0.995,                0.89787,                0.52168,                0.46953,                0.82517,               0.006634,               0.006634,               0.006634
                     19,                0.54719,                0.57454,                0.85211,                0.81413,                0.97619,                  0.995,                0.95473,                0.37441,                0.53242,                0.78176,               0.006436,               0.006436,               0.006436
                     20,                0.55239,                0.58228,                0.84234,                0.72651,                      1,                  0.995,                0.93577,                0.44377,                0.51716,                0.80441,               0.006238,               0.006238,               0.006238
                     21,                0.50136,                0.56031,                0.84235,                0.82047,                      1,                  0.995,                0.94288,                0.38046,                0.41387,                0.78418,                0.00604,                0.00604,                0.00604
                     22,                0.51592,                0.51295,                0.84625,                0.72563,                0.97619,                0.98315,                0.92511,                0.43484,                0.59242,                0.80287,               0.005842,               0.005842,               0.005842
                     23,                  0.486,                0.52693,                0.84325,                0.78839,                0.97619,                  0.995,                0.95236,                  0.356,                0.43115,                0.78256,               0.005644,               0.005644,               0.005644
                     24,                0.47481,                0.50546,                0.84006,                0.90025,                0.97619,                  0.995,                0.93577,                0.39909,                0.36179,                0.79314,               0.005446,               0.005446,               0.005446
