                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0404,                  1.901,                0.91879,                0.74003,                0.92657,                0.95946,                0.86233,                0.54212,                0.60034,                0.78637,                 0.0937,                 0.0007,                 0.0007
                      1,                0.75313,                 1.4774,                0.85478,                0.71558,                0.85714,                0.96736,                 0.8801,                0.49887,                0.71368,                 0.7895,                0.08647,              0.0014703,              0.0014703
                      2,                0.73273,                  1.396,                0.85607,                 0.6707,                0.85714,                0.96736,                0.86668,                0.52789,                0.91698,                0.79268,               0.079209,              0.0022089,              0.0022089
                      3,                0.66268,                 1.0044,                0.83079,                0.61926,                0.88968,                0.97921,                0.87734,                0.55946,                0.84307,                0.79421,               0.071916,              0.0029159,              0.0029159
                      4,                0.74301,                 1.0744,                0.83712,                0.58198,                0.96539,                0.95552,                0.85404,                0.58908,                0.78512,                0.79657,               0.064591,              0.0035911,              0.0035911
                      5,                0.83428,                 1.0974,                0.84206,                0.68845,                0.85714,                0.95946,                0.85641,                 0.5872,                0.85121,                0.79666,               0.057235,              0.0042347,              0.0042347
                      6,                0.85248,                 1.0666,                0.85066,                0.77563,                0.83333,                0.96144,                0.83469,                0.67323,                0.78077,                0.80402,               0.049847,              0.0048466,              0.0048466
                      7,                0.85934,                0.93676,                0.84275,                0.77462,                0.83333,                0.96025,                0.79979,                0.74552,                0.81027,                0.80704,               0.042427,              0.0054268,              0.0054268
                      8,                0.81537,                0.92676,                0.85065,                0.83956,                 0.7381,                 0.9642,                0.77089,                0.92793,                 0.8258,                0.82249,               0.034975,              0.0059754,              0.0059754
                      9,                0.92796,                0.91219,                 0.8516,                 0.6672,                0.86164,                0.96736,                0.82009,                0.74259,                0.80955,                0.81285,               0.027492,              0.0064922,              0.0064922
                     10,                0.90313,                0.91225,                0.86375,                 0.7491,                0.83333,                0.96736,                0.77744,                 0.8521,                0.77622,                0.82295,               0.019977,              0.0069774,              0.0069774
                     11,                0.95987,                0.96992,                0.85424,                0.77035,                0.85714,                0.96736,                0.82443,                0.73025,                0.76172,                 0.8206,               0.012431,              0.0074309,              0.0074309
                     12,                0.97529,                0.94256,                0.85579,                0.68825,                0.88095,                0.96736,                0.80666,                0.72645,                0.82309,                0.81792,               0.007624,               0.007624,               0.007624
