                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9115,                 5.3332,                 1.5841,                0.01156,                0.09524,                0.03437,                0.03029,                 1.0331,                 4.9136,                  1.183,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.4655,                 5.2251,                 1.3575,                0.03146,                0.16667,                0.05117,                0.04242,                 0.9266,                 4.6786,                 1.0942,               0.093693,             0.00069307,             0.00069307
                      2,                  1.035,                 4.9581,                 1.1493,                0.45052,                0.04762,                0.05095,                0.04508,                0.55882,                 4.1262,                0.87212,               0.090078,              0.0010782,              0.0010782
                      3,                0.67232,                 4.1639,                0.97263,                0.02454,                 0.2381,                0.09206,                0.08789,                0.47879,                 14.385,                0.83214,               0.086455,              0.0014555,              0.0014555
                      4,                0.61656,                 3.2161,                0.90898,                0.06995,                0.35714,                0.17221,                0.16116,                0.45256,                 32.089,                0.81908,               0.082825,              0.0018248,              0.0018248
                      5,                0.58526,                 2.7736,                0.87326,                0.10144,                0.47619,                0.23878,                0.22676,                0.43268,                 26.257,                0.80277,               0.079186,              0.0021861,              0.0021861
                      6,                0.56138,                 2.3459,                 0.8783,                0.18667,                0.66667,                0.39842,                0.37327,                0.42215,                 13.626,                0.80888,                0.07554,              0.0025396,              0.0025396
                      7,                0.50762,                 2.0101,                0.86809,                0.45319,                0.71429,                0.59293,                0.56644,                0.38694,                 6.4932,                0.79895,               0.071885,              0.0028852,              0.0028852
                      8,                0.51374,                 1.7858,                0.86052,                0.54719,                 0.7619,                0.73266,                0.69665,                0.38516,                 2.4346,                0.80114,               0.068223,              0.0032228,              0.0032228
                      9,                0.50077,                 1.6287,                0.86082,                0.70666,                0.66163,                0.84081,                0.79106,                0.37681,                 1.7721,                 0.7993,               0.064553,              0.0035525,              0.0035525
                     10,                0.47932,                 1.4747,                0.86535,                0.66567,                 0.7619,                 0.8576,                0.81377,                0.36625,                 2.5467,                0.79118,               0.060874,              0.0038743,              0.0038743
                     11,                0.51582,                 1.3597,                0.85139,                0.74212,                0.72646,                0.87734,                0.82324,                 0.4145,                 1.1301,                0.80494,               0.057188,              0.0041882,              0.0041882
                     12,                0.54845,                 1.2529,                0.85017,                0.60171,                0.92857,                0.91287,                0.83746,                0.48213,                0.95292,                0.82362,               0.053494,              0.0044941,              0.0044941
                     13,                0.57638,                 1.1761,                0.84639,                 0.7198,                0.88095,                0.93775,                0.87773,                0.43952,                0.91249,                0.81987,               0.049792,              0.0047922,              0.0047922
                     14,                 0.5905,                   1.11,                0.87973,                0.88283,                0.66667,                0.95157,                0.89353,                 0.4018,                0.90211,                0.80625,               0.046082,              0.0050823,              0.0050823
                     15,                0.49175,                 1.0398,                0.85133,                0.75452,                0.92857,                0.95552,                0.88129,                0.47509,                 1.0092,                0.81843,               0.042364,              0.0053644,              0.0053644
                     16,                0.55924,                 1.0397,                0.85378,                0.88107,                0.69048,                0.93577,                0.87536,                0.42386,                 1.0046,                0.81388,               0.038639,              0.0056387,              0.0056387
                     17,                 0.6119,                0.97644,                0.85873,                0.82745,                0.90476,                0.97131,                0.87418,                0.55286,                0.82657,                0.84967,               0.034905,              0.0059051,              0.0059051
                     18,                0.68913,                0.93366,                0.87958,                0.87435,                0.88095,                  0.995,                0.90498,                 0.4469,                 0.6148,                0.81359,               0.031163,              0.0061635,              0.0061635
                     19,                0.59715,                0.81938,                0.87048,                0.79298,                0.97619,                  0.995,                0.87655,                 0.5418,                0.67151,                 0.8477,               0.027414,               0.006414,               0.006414
                     20,                0.60768,                0.87561,                0.86086,                0.93207,                0.90476,                0.98315,                0.91919,                0.44569,                0.77053,                0.82333,               0.023657,              0.0066566,              0.0066566
                     21,                0.55597,                0.90773,                0.85624,                0.78663,                0.88095,                  0.995,                 0.8955,                0.49835,                0.67556,                0.83244,               0.019891,              0.0068913,              0.0068913
                     22,                 0.5686,                0.82177,                0.86119,                0.79004,                0.90476,                  0.995,                0.91445,                0.51848,                0.62214,                0.84938,               0.016118,               0.007118,               0.007118
                     23,                0.61466,                0.79249,                0.87523,                0.87968,                0.85714,                0.98315,                0.86352,                0.55056,                0.74645,                0.86143,               0.012337,              0.0073369,              0.0073369
