                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8052,                 5.2033,                 1.4881,                0.19716,                0.04762,                0.03078,                0.02463,                0.92618,                 4.3922,                 1.0079,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1802,                 4.6882,                 1.1776,                0.01204,                0.16667,                0.05348,                 0.0506,                0.60808,                 4.0533,                0.86752,                0.08647,              0.0014703,              0.0014703
                      2,                0.80036,                 4.0841,                0.97448,                0.13722,                0.19048,                0.08216,                0.07438,                0.64313,                 4.1416,                0.84719,               0.079209,              0.0022089,              0.0022089
                      3,                0.65395,                 3.3556,                0.91989,                0.09516,                0.45238,                0.22545,                0.21207,                0.48308,                 7.4114,                0.82258,               0.071916,              0.0029159,              0.0029159
                      4,                0.63943,                  2.723,                0.88962,                0.24334,                0.57143,                0.39786,                0.36744,                0.44672,                 3.6542,                0.83133,               0.064591,              0.0035911,              0.0035911
                      5,                0.63803,                 2.3974,                0.87004,                0.22704,                0.69048,                0.46975,                0.43679,                0.43178,                  2.397,                0.81532,               0.057235,              0.0042347,              0.0042347
                      6,                0.61475,                 2.0917,                0.88999,                0.46928,                0.64607,                0.60697,                0.55238,                0.51412,                 2.0974,                0.81751,               0.049847,              0.0048466,              0.0048466
                      7,                0.61081,                 1.8967,                0.88578,                0.28489,                0.88095,                0.64318,                0.59588,                0.49253,                 1.7609,                0.82539,               0.042427,              0.0054268,              0.0054268
                      8,                0.62454,                 1.7639,                0.88861,                0.48038,                0.73054,                0.70962,                0.64277,                0.50094,                  1.582,                0.82134,               0.034975,              0.0059754,              0.0059754
                      9,                0.65972,                 1.6284,                0.89309,                0.38683,                0.87574,                0.79134,                 0.6797,                0.66268,                 1.5132,                0.87617,               0.027492,              0.0064922,              0.0064922
                     10,                0.62073,                  1.607,                0.89549,                0.61327,                0.65581,                0.79172,                 0.7397,                0.43501,                 1.4176,                0.81398,               0.019977,              0.0069774,              0.0069774
                     11,                0.63396,                 1.5578,                0.88041,                0.73486,                0.68889,                 0.8673,                 0.7509,                0.65777,                  1.513,                0.89239,               0.012431,              0.0074309,              0.0074309
                     12,                0.65781,                  1.463,                0.86847,                0.45231,                0.83333,                 0.8651,                0.80939,                0.47136,                 1.2039,                0.81697,               0.007624,               0.007624,               0.007624
